Customer_ID,total_orders,total_quantity,total_revenue,avg_order_value,customer_segment
CUST_010001,2,7,2248.477,1124.2385,High_Value
CUST_010002,1,2,981.44,981.44,Standard
CUST_010003,2,4,933.087,466.5435,Standard
CUST_010006,3,8,1358.8316,452.9438666666667,Standard
CUST_010007,2,5,413.376,206.688,Standard
CUST_010008,3,4,689.18,229.72666666666666,Standard
CUST_010009,1,2,279.1784,279.1784,Standard
CUST_010012,1,1,58.04,58.04,Standard
CUST_010013,3,8,4633.35,1544.45,High_Value
CUST_010016,1,4,5033.1072,5033.1072,High_Value
CUST_010017,1,1,17.255000000000003,17.255000000000003,Standard
CUST_010018,3,3,346.26360000000005,115.42120000000001,Standard
CUST_010019,1,2,738.76,738.76,Standard
CUST_010022,2,4,2490.0344999999998,1245.0172499999999,High_Value
CUST_010023,1,1,265.72,265.72,Standard
CUST_010024,2,9,2463.46,1231.73,High_Value
CUST_010025,1,1,102.0321,102.0321,Standard
CUST_010026,2,3,527.25,263.625,Standard
CUST_010028,2,2,923.3751,461.68755,Standard
CUST_010030,1,5,223.9,223.9,Standard
CUST_010031,1,1,265.08,265.08,Standard
CUST_010032,2,3,1166.6244,583.3122,Standard
CUST_010033,1,1,8.73,8.73,Standard
CUST_010036,3,3,840.7,280.23333333333335,Standard
CUST_010037,1,4,81.36,81.36,Standard
CUST_010039,3,6,1299.8814,433.2938,Standard
CUST_010041,1,1,66.4356,66.4356,Standard
CUST_010042,2,4,616.8968000000001,308.44840000000005,Standard
CUST_010043,3,6,555.404,185.13466666666667,Standard
CUST_010044,1,1,350.11,350.11,Standard
CUST_010045,1,1,30.49,30.49,Standard
CUST_010046,2,5,261.4,130.7,Standard
CUST_010047,1,2,377.0,377.0,Standard
CUST_010048,1,3,608.7705,608.7705,Standard
CUST_010049,1,5,1405.3939999999998,1405.3939999999998,Standard
CUST_010050,1,2,58.86,58.86,Standard
CUST_010051,2,9,11295.150000000001,5647.575000000001,High_Value
CUST_010052,1,1,657.8616000000001,657.8616000000001,Standard
CUST_010053,3,3,329.4055000000001,109.80183333333336,Standard
CUST_010054,3,10,3327.2799999999997,1109.0933333333332,High_Value
CUST_010057,1,2,226.16,226.16,Standard
CUST_010058,1,2,62.06,62.06,Standard
CUST_010059,1,3,113.46,113.46,Standard
CUST_010060,4,11,3506.767,876.69175,High_Value
CUST_010061,3,7,318.65,106.21666666666665,Standard
CUST_010063,1,2,136.534,136.534,Standard
CUST_010065,3,6,1843.0755,614.3584999999999,High_Value
CUST_010066,2,5,352.71000000000004,176.35500000000002,Standard
CUST_010069,1,3,229.92,229.92,Standard
CUST_010070,2,3,1284.6668,642.3334,Standard
CUST_010073,4,9,796.5423999999999,199.13559999999998,Standard
CUST_010074,1,2,848.66,848.66,Standard
CUST_010075,1,6,200.58,200.58,Standard
CUST_010076,2,6,1602.78,801.39,Standard
CUST_010077,1,4,899.5400000000001,899.5400000000001,Standard
CUST_010079,1,4,4158.24,4158.24,High_Value
CUST_010080,2,2,1138.0700000000002,569.0350000000001,Standard
CUST_010082,3,6,1039.352,346.4506666666667,Standard
CUST_010083,1,1,33.1253,33.1253,Standard
CUST_010086,1,4,172.6436,172.6436,Standard
CUST_010088,3,7,1484.8466,494.9488666666667,Standard
CUST_010089,1,1,1427.88,1427.88,Standard
CUST_010091,1,1,17.03,17.03,Standard
CUST_010093,1,2,464.904,464.904,Standard
CUST_010094,1,2,225.98,225.98,Standard
CUST_010095,1,10,880.4250000000001,880.4250000000001,Standard
CUST_010098,1,1,589.79,589.79,Standard
CUST_010099,1,2,1325.14,1325.14,Standard
CUST_010101,1,3,4001.94,4001.94,High_Value
CUST_010102,2,5,406.21119999999996,203.10559999999998,Standard
CUST_010103,1,3,77.5632,77.5632,Standard
CUST_010104,1,7,2198.35,2198.35,High_Value
CUST_010105,1,1,1158.7115,1158.7115,Standard
CUST_010107,2,5,5684.83,2842.415,High_Value
CUST_010108,2,6,1846.5900000000001,923.2950000000001,High_Value
CUST_010109,2,4,218.57760000000002,109.28880000000001,Standard
CUST_010112,1,2,71.292,71.292,Standard
CUST_010113,1,2,95.28,95.28,Standard
CUST_010116,1,1,1952.95,1952.95,High_Value
CUST_010117,1,1,770.17,770.17,Standard
CUST_010121,1,5,747.9000000000001,747.9000000000001,Standard
CUST_010122,1,1,181.4,181.4,Standard
CUST_010123,1,1,133.08,133.08,Standard
CUST_010124,1,1,320.22,320.22,Standard
CUST_010125,1,3,215.64,215.64,Standard
CUST_010126,1,1,30.2585,30.2585,Standard
CUST_010127,1,2,952.9,952.9,Standard
CUST_010128,2,3,2637.08,1318.54,High_Value
CUST_010129,1,2,390.4,390.4,Standard
CUST_010130,1,1,309.1,309.1,Standard
CUST_010132,1,7,112.58380000000002,112.58380000000002,Standard
CUST_010134,2,11,468.98900000000003,234.49450000000002,Standard
CUST_010135,1,2,86.22,86.22,Standard
CUST_010137,1,1,106.34,106.34,Standard
CUST_010139,2,8,146.48,73.24,Standard
CUST_010141,3,7,1624.61,541.5366666666666,Standard
CUST_010143,1,1,77.4213,77.4213,Standard
CUST_010144,2,4,405.41100000000006,202.70550000000003,Standard
CUST_010148,1,6,4441.02,4441.02,High_Value
CUST_010150,1,3,2878.722,2878.722,High_Value
CUST_010151,1,5,224.7,224.7,Standard
CUST_010153,2,2,730.7272,365.3636,Standard
CUST_010154,1,6,310.56,310.56,Standard
CUST_010156,1,2,476.6004,476.6004,Standard
CUST_010158,1,1,561.0382,561.0382,Standard
CUST_010163,3,7,263.28999999999996,87.76333333333332,Standard
CUST_010164,2,5,151.92,75.96,Standard
CUST_010165,1,1,17.28,17.28,Standard
CUST_010170,3,15,3880.0568000000003,1293.3522666666668,High_Value
CUST_010171,2,5,121.41,60.705,Standard
CUST_010173,1,3,126.3924,126.3924,Standard
CUST_010178,4,4,811.938,202.9845,Standard
CUST_010179,1,3,220.4664,220.4664,Standard
CUST_010180,2,3,1163.08,581.54,Standard
CUST_010182,1,5,6546.65,6546.65,High_Value
CUST_010184,3,8,6608.924000000001,2202.974666666667,High_Value
CUST_010185,2,6,925.8000000000001,462.90000000000003,Standard
CUST_010186,1,2,30.48,30.48,Standard
CUST_010187,1,1,15.281300000000002,15.281300000000002,Standard
CUST_010188,1,4,112.0,112.0,Standard
CUST_010190,1,3,436.8,436.8,Standard
CUST_010191,1,3,1888.71,1888.71,High_Value
CUST_010192,1,2,451.08,451.08,Standard
CUST_010193,1,5,135.75,135.75,Standard
CUST_010195,2,3,520.2502,260.1251,Standard
CUST_010196,2,8,1157.812,578.906,Standard
CUST_010197,2,4,261.12,130.56,Standard
CUST_010198,1,1,644.0,644.0,Standard
CUST_010199,2,2,648.55,324.275,Standard
CUST_010200,1,1,743.64,743.64,Standard
CUST_010202,1,3,164.43,164.43,Standard
CUST_010203,4,6,2303.6982000000003,575.9245500000001,High_Value
CUST_010204,1,1,223.3,223.3,Standard
CUST_010205,1,1,25.636,25.636,Standard
CUST_010208,3,5,717.8998,239.29993333333334,Standard
CUST_010209,2,11,5650.63,2825.315,High_Value
CUST_010210,2,4,316.65999999999997,158.32999999999998,Standard
CUST_010211,1,2,622.34,622.34,Standard
CUST_010212,2,4,6695.3545,3347.67725,High_Value
CUST_010213,3,4,1271.9422,423.9807333333333,Standard
CUST_010216,2,3,287.0978,143.5489,Standard
CUST_010218,1,1,261.86,261.86,Standard
CUST_010219,1,1,29.4855,29.4855,Standard
CUST_010223,1,2,257.78,257.78,Standard
CUST_010224,3,7,793.5255999999999,264.50853333333333,Standard
CUST_010225,2,12,993.72,496.86,Standard
CUST_010226,1,3,1300.5558,1300.5558,Standard
CUST_010227,1,5,1220.9,1220.9,Standard
CUST_010229,1,3,119.16,119.16,Standard
CUST_010231,1,2,196.06,196.06,Standard
CUST_010232,2,4,381.7812,190.8906,Standard
CUST_010238,1,3,3019.17,3019.17,High_Value
CUST_010239,1,1,422.37,422.37,Standard
CUST_010240,4,15,4071.6768,1017.9192,High_Value
CUST_010241,3,10,4398.78,1466.26,High_Value
CUST_010242,1,3,147.93,147.93,Standard
CUST_010243,1,2,82.02,82.02,Standard
CUST_010249,1,3,108.57,108.57,Standard
CUST_010250,1,1,1792.39,1792.39,High_Value
CUST_010252,1,1,49.33,49.33,Standard
CUST_010253,1,1,563.11,563.11,Standard
CUST_010256,1,2,969.26,969.26,Standard
CUST_010258,1,1,1640.15,1640.15,Standard
CUST_010260,1,1,55.28940000000001,55.28940000000001,Standard
CUST_010261,2,4,469.24,234.62,Standard
CUST_010262,3,11,12850.5435,4283.5145,High_Value
CUST_010263,1,1,477.55,477.55,Standard
CUST_010265,1,2,1009.5252,1009.5252,Standard
CUST_010266,1,1,268.8,268.8,Standard
CUST_010267,1,1,57.41,57.41,Standard
CUST_010273,1,2,140.58,140.58,Standard
CUST_010274,1,3,1825.62,1825.62,High_Value
CUST_010276,1,2,76.16,76.16,Standard
CUST_010278,3,8,1383.256,461.0853333333334,Standard
CUST_010280,1,2,2611.44,2611.44,High_Value
CUST_010283,1,2,1193.74,1193.74,Standard
CUST_010285,1,1,153.93,153.93,Standard
CUST_010288,1,1,156.3463,156.3463,Standard
CUST_010289,1,2,56.98,56.98,Standard
CUST_010290,1,1,1571.09,1571.09,Standard
CUST_010293,3,8,553.4599999999999,184.48666666666665,Standard
CUST_010294,1,3,2316.87,2316.87,High_Value
CUST_010298,1,1,213.1916,213.1916,Standard
CUST_010299,2,10,10249.84,5124.92,High_Value
CUST_010300,3,5,2835.77,945.2566666666667,High_Value
CUST_010301,1,2,3645.96,3645.96,High_Value
CUST_010303,1,3,35.07,35.07,Standard
CUST_010304,1,4,426.2,426.2,Standard
CUST_010306,1,1,33.714400000000005,33.714400000000005,Standard
CUST_010307,4,9,3055.1586,763.78965,High_Value
CUST_010308,2,2,287.65999999999997,143.82999999999998,Standard
CUST_010309,1,1,174.21,174.21,Standard
CUST_010314,1,1,347.23720000000003,347.23720000000003,Standard
CUST_010315,1,1,169.875,169.875,Standard
CUST_010316,2,6,5998.4876,2999.2438,High_Value
CUST_010318,1,2,237.84,237.84,Standard
CUST_010320,1,2,318.767,318.767,Standard
CUST_010322,1,2,19.845,19.845,Standard
CUST_010323,1,1,1572.7788,1572.7788,Standard
CUST_010324,1,1,58.1595,58.1595,Standard
CUST_010325,2,4,602.028,301.014,Standard
CUST_010327,2,5,1724.8,862.4,Standard
CUST_010328,2,7,1978.74,989.37,High_Value
CUST_010329,2,10,3453.5099999999998,1726.7549999999999,High_Value
CUST_010330,1,1,245.02,245.02,Standard
CUST_010331,1,1,48.175,48.175,Standard
CUST_010332,1,1,236.39,236.39,Standard
CUST_010333,2,9,3084.589,1542.2945,High_Value
CUST_010337,2,3,436.376,218.188,Standard
CUST_010338,1,10,4682.3,4682.3,High_Value
CUST_010340,1,1,238.7962,238.7962,Standard
CUST_010341,1,3,1547.6184,1547.6184,Standard
CUST_010343,2,7,349.26919999999996,174.63459999999998,Standard
CUST_010346,2,2,1673.6082,836.8041,Standard
CUST_010347,1,6,4659.177000000001,4659.177000000001,High_Value
CUST_010348,2,2,414.77000000000004,207.38500000000002,Standard
CUST_010349,1,1,121.4898,121.4898,Standard
CUST_010350,1,1,87.3236,87.3236,Standard
CUST_010351,1,2,1308.405,1308.405,Standard
CUST_010353,1,4,7457.12,7457.12,High_Value
CUST_010355,2,4,1771.5,885.75,High_Value
CUST_010356,2,4,127.72,63.86,Standard
CUST_010358,1,1,186.27,186.27,Standard
CUST_010359,2,5,4009.4428,2004.7214,High_Value
CUST_010360,1,4,996.4,996.4,Standard
CUST_010363,2,4,648.56,324.28,Standard
CUST_010365,1,3,1213.08,1213.08,Standard
CUST_010366,1,1,1921.73,1921.73,High_Value
CUST_010367,2,4,1848.1860000000001,924.0930000000001,High_Value
CUST_010369,3,5,5562.720000000001,1854.2400000000005,High_Value
CUST_010371,2,3,299.0308,149.5154,Standard
CUST_010372,2,5,1905.57,952.785,High_Value
CUST_010373,2,6,1414.56,707.28,Standard
CUST_010374,2,11,1523.55,761.775,Standard
CUST_010375,1,2,1532.38,1532.38,Standard
CUST_010376,1,1,59.67,59.67,Standard
CUST_010377,1,1,1381.86,1381.86,Standard
