Customer_ID,Order_ID,Order_Date,Product_Category,Product_Sub_Category,Quantity,Price,Discount,Customer_Location,Revenue,Revenue_calc,order_year,order_month,order_month_name,order_day_of_week,gross_sales,discount_amount,net_sales,customer_segment_x,customer_segment_y
CUST_013738,ORD_00102406,2023-01-01,Home & Garden,Gardening Tools,1,419.19,0.0,TN,419.19,419.19,2023,1,January,Sunday,419.19,0.0,419.19,Standard,Standard
CUST_011726,ORD_00102902,2023-01-01,Electronics,Laptops,1,222.37,0.09,TN,202.3567,202.3567,2023,1,January,Sunday,222.37,20.0133,202.3567,Standard,Standard
CUST_010891,ORD_00103864,2023-01-01,Electronics,Laptops,6,1107.65,0.0,IN,6645.900000000001,6645.900000000001,2023,1,January,Sunday,6645.900000000001,0.0,6645.900000000001,High-Value,High_Value
CUST_011452,ORD_00103560,2023-01-01,Electronics,Gaming Consoles,5,288.84,0.0,MA,1444.1999999999998,1444.1999999999998,2023,1,January,Sunday,1444.1999999999998,0.0,1444.1999999999998,Standard,Standard
CUST_010886,ORD_00100632,2023-01-02,Electronics,Headphones,1,191.27,0.0,AZ,191.27,191.27,2023,1,January,Monday,191.27,0.0,191.27,High-Value,High_Value
CUST_010410,ORD_00103733,2023-01-02,Clothing,Shoes,4,200.47,0.37,MI,505.1844,505.1844,2023,1,January,Monday,801.88,296.6956,505.1844,High-Value,High_Value
CUST_011600,ORD_00103814,2023-01-02,Beauty,Personal Care,5,115.09,0.08,MI,529.4140000000001,529.4140000000001,2023,1,January,Monday,575.45,46.036,529.4140000000001,Standard,Standard
CUST_012368,ORD_00104082,2023-01-02,Clothing,Shoes,1,118.51,0.0,IN,118.51,118.51,2023,1,January,Monday,118.51,0.0,118.51,Standard,Standard
CUST_014778,ORD_00102022,2023-01-02,Books,Non-Fiction,2,30.23,0.0,TX,60.46,60.46,2023,1,January,Monday,60.46,0.0,60.46,Standard,Standard
CUST_010262,ORD_00104782,2023-01-02,Home & Garden,Furniture,1,285.41,0.0,LA,285.41,285.41,2023,1,January,Monday,285.41,0.0,285.41,High-Value,High_Value
CUST_011456,ORD_00100626,2023-01-02,Beauty,Personal Care,1,27.53,0.0,LA,27.53,27.53,2023,1,January,Monday,27.53,0.0,27.53,Standard,Standard
CUST_011615,ORD_00103622,2023-01-03,Beauty,Skincare,1,16.59,0.0,KY,16.59,16.59,2023,1,January,Tuesday,16.59,0.0,16.59,Standard,Standard
